"Date","Price","Open","High","Low","Change %"
"Jan 03, 2017","1.3975","1.4052","1.4091","1.3898","-0.58%"
"Jan 02, 2017","1.4056","1.4157","1.4157","1.4034","-0.49%"
"Dec 30, 2016","1.4125","1.4170","1.4369","1.4122","-0.30%"
"Dec 29, 2016","1.4167","1.4122","1.4185","1.4107","0.33%"
"Dec 28, 2016","1.4121","1.4197","1.4226","1.4081","-0.53%"
"Dec 27, 2016","1.4196","1.4123","1.4205","1.4112","0.50%"
"Dec 26, 2016","1.4126","1.4144","1.4177","1.4078","-0.20%"
"Dec 23, 2016","1.4154","1.4076","1.4169","1.4062","0.59%"
"Dec 22, 2016","1.4071","1.3982","1.4170","1.3975","0.64%"
"Dec 21, 2016","1.3982","1.3883","1.4002","1.3879","0.68%"
"Dec 20, 2016","1.3887","1.3955","1.3971","1.3878","-0.43%"
"Dec 19, 2016","1.3947","1.3927","1.4009","1.3897","0.07%"
"Dec 16, 2016","1.3937","1.3897","1.3991","1.3884","0.35%"
"Dec 15, 2016","1.3888","1.3995","1.4012","1.3875","-0.76%"
"Dec 14, 2016","1.3994","1.3951","1.4035","1.3921","0.30%"
"Dec 13, 2016","1.3952","1.3966","1.3991","1.3910","-0.09%"
"Dec 12, 2016","1.3964","1.3876","1.3988","1.3817","0.32%"
"Dec 09, 2016","1.3920","1.4008","1.4030","1.3863","-0.59%"
"Dec 08, 2016","1.4003","1.4224","1.4359","1.3984","-1.59%"
"Dec 07, 2016","1.4229","1.4236","1.4296","1.4209","-0.01%"
"Dec 06, 2016","1.4231","1.4288","1.4311","1.4208","-0.36%"
"Dec 05, 2016","1.4282","1.4189","1.4301","1.4022","0.66%"
"Dec 02, 2016","1.4188","1.4197","1.4234","1.4126","-0.06%"
"Dec 01, 2016","1.4197","1.4223","1.4272","1.4123","-0.20%"
"Nov 30, 2016","1.4225","1.4304","1.4330","1.4187","-0.55%"
"Nov 29, 2016","1.4304","1.4231","1.4320","1.4208","0.48%"
"Nov 28, 2016","1.4236","1.4326","1.4396","1.4165","-0.61%"
"Nov 25, 2016","1.4324","1.4235","1.4360","1.4226","0.60%"
"Nov 24, 2016","1.4238","1.4236","1.4299","1.4219","0.01%"
"Nov 23, 2016","1.4237","1.4280","1.4308","1.4182","-0.32%"
"Nov 22, 2016","1.4283","1.4262","1.4313","1.4197","0.14%"
"Nov 21, 2016","1.4263","1.4292","1.4338","1.4217","-0.22%"
"Nov 18, 2016","1.4295","1.4367","1.4391","1.4279","-0.52%"
"Nov 17, 2016","1.4369","1.4376","1.4413","1.4299","-0.05%"
"Nov 16, 2016","1.4376","1.4419","1.4453","1.4312","-0.31%"
"Nov 15, 2016","1.4420","1.4552","1.4625","1.4409","-0.93%"
"Nov 14, 2016","1.4555","1.4655","1.4662","1.4523","-1.01%"
"Nov 11, 2016","1.4703","1.4680","1.4767","1.4636","0.21%"
"Nov 10, 2016","1.4672","1.4644","1.4711","1.4614","0.20%"
"Nov 09, 2016","1.4642","1.4646","1.5283","1.4582","-0.05%"
"Nov 08, 2016","1.4650","1.4753","1.4793","1.4629","-0.68%"
"Nov 07, 2016","1.4751","1.4931","1.4931","1.4723","-1.22%"
"Nov 04, 2016","1.4933","1.4876","1.4964","1.4848","0.37%"
"Nov 03, 2016","1.4878","1.4861","1.4902","1.4801","0.12%"
"Nov 02, 2016","1.4860","1.4802","1.4915","1.4789","0.38%"
"Nov 01, 2016","1.4804","1.4723","1.4826","1.4692","0.53%"
"Oct 31, 2016","1.4726","1.4719","1.4763","1.4643","0.03%"
"Oct 28, 2016","1.4721","1.4589","1.4754","1.4578","0.91%"
"Oct 27, 2016","1.4588","1.4600","1.4639","1.4570","-0.06%"
"Oct 26, 2016","1.4597","1.4538","1.4629","1.4518","0.41%"
"Oct 25, 2016","1.4537","1.4455","1.4548","1.4438","0.55%"
"Oct 24, 2016","1.4458","1.4508","1.4585","1.4451","-0.40%"
"Oct 21, 2016","1.4516","1.4461","1.4529","1.4394","0.38%"
"Oct 20, 2016","1.4461","1.4392","1.4580","1.4384","0.49%"
"Oct 19, 2016","1.4391","1.4386","1.4424","1.4260","-0.02%"
"Oct 18, 2016","1.4394","1.4442","1.4453","1.4361","-0.30%"
"Oct 17, 2016","1.4437","1.4421","1.4485","1.4380","0.15%"
"Oct 14, 2016","1.4416","1.4583","1.4596","1.4404","-1.17%"
"Oct 13, 2016","1.4586","1.4615","1.4671","1.4571","-0.20%"
"Oct 12, 2016","1.4615","1.4667","1.4670","1.4569","-0.31%"
"Oct 11, 2016","1.4660","1.4671","1.4709","1.4606","-0.10%"
"Oct 10, 2016","1.4674","1.4882","1.4883","1.4648","-1.48%"
