"Date","Price","Open","High","Low","Change %"
"Nov 02, 2014","1.5874","1.5978","1.6023","1.5791","-0.78%"
"Oct 26, 2014","1.5998","1.6099","1.6184","1.5943","-0.58%"
"Oct 19, 2014","1.6091","1.6097","1.6186","1.5996","-0.02%"
"Oct 12, 2014","1.6095","1.6078","1.6128","1.5876","0.11%"
"Oct 05, 2014","1.6078","1.5959","1.6228","1.5943","0.71%"
"Sep 28, 2014","1.5964","1.6246","1.6289","1.5953","-1.74%"
"Sep 21, 2014","1.6247","1.6289","1.6417","1.6237","-0.25%"
"Sep 14, 2014","1.6288","1.6272","1.6526","1.6162","0.12%"
"Sep 07, 2014","1.6268","1.6202","1.6280","1.6053","-0.36%"
"Aug 31, 2014","1.6327","1.6595","1.6646","1.6284","-1.64%"
"Aug 24, 2014","1.6599","1.6570","1.6615","1.6526","0.17%"
"Aug 17, 2014","1.6571","1.6723","1.6741","1.6561","-0.75%"
"Aug 10, 2014","1.6697","1.6784","1.6845","1.6657","-0.45%"
"Aug 03, 2014","1.6773","1.6821","1.6889","1.6765","-0.29%"
"Jul 27, 2014","1.6821","1.6971","1.7001","1.6814","-0.90%"
"Jul 20, 2014","1.6974","1.7093","1.7102","1.6962","-0.67%"
"Jul 13, 2014","1.7088","1.7118","1.7193","1.7036","-0.22%"
"Jul 06, 2014","1.7125","1.7163","1.7171","1.7085","-0.20%"
"Jun 29, 2014","1.7160","1.7020","1.7181","1.7007","0.73%"
"Jun 22, 2014","1.7035","1.7014","1.7053","1.6951","0.14%"
"Jun 15, 2014","1.7012","1.6971","1.7065","1.6926","0.28%"
"Jun 08, 2014","1.6965","1.6796","1.6993","1.6739","0.96%"
"Jun 01, 2014","1.6803","1.6762","1.6846","1.6699","0.30%"
"May 25, 2014","1.6752","1.6835","1.6883","1.6693","-0.48%"
"May 18, 2014","1.6832","1.6811","1.6923","1.6803","0.10%"
"May 11, 2014","1.6816","1.6840","1.6905","1.6731","-0.21%"
"May 04, 2014","1.6851","1.6869","1.6998","1.6832","-0.09%"
